SNo,Brief Description of the grievance,Category,Label
3882,कुलेश्वर सानीमा बैकं अगाडी मापदण्ड बिपरीत भवन बनाउदै छन् यसकाे नक्सा पास पनि भएकाे छैन अनुगमन गरिदिनुहुन अनुराेध गर्दछु ।  ,नगर प्रहरी,genuine
3883,Mero crush arkai section ma chha. Uslai mero section ma sardiuna.,Education,not_genuine
3884,कामपा १४ वडा कुलेश्वरबाट कलंकी निस्कने बाटो गोदारगाउँ/सुनारगाउँमा अस्ति भर्खर पिच गरेको बाटो त्यहीका घरवालाले आफ्नो व्यक्तिगत प्रयोगको लागि खनेर छोडेका छन्। यसरी अनुमती नलिइकन बाटो पटक पटक बिगारेर छोड्दा हामी हिड्ने मान्छेलाई साह्रै गाह्रो भयो ।,सार्वजनिक निरमाण,genuine
3885,वडा नं. ३२ पेप्सिकोलाको बाटो खाल्डो धेरै  भएको ।,सार्वजनिक निरमाण,genuine
3886,"मेरो गाईको नाम 'काली' हो, तर उनी त्यति कालो छैनन्। उनको लागि रङको व्यवस्था गर्नुपर्‍यो।",Agriculture and Livestock,not_genuine
3887,"७ वडा पनेकु टोल हिमालयन स्कुल अगाडीको घरको खाली जग्गामा विहान, राति आगो बालेर धुवाँले बस्न साह्रै गाह्रो भयो ",नगर प्रहरी,genuine
3888,Mero chhora le mero mobile hideko chha. Kahan lukayo khoj dinu paryo.,Nagar Prahari,not_genuine
3889,The public park has too many trees. It's blocking the sunlight. Please cut some trees.,Public Infrastructure,not_genuine
3890,मेरो श्रीमान्ले मलाई खाना बनाउन लगाउनुहुन्छ। यसमा रोक लगाइदिनुपर्‍यो।,Nagar Prahari,not_genuine
3891,चारखाल अड्डा डिल्लिबजार गुर्जुमार्ग ठुलो पिपल बोट  मुनि जथाभावि बाइक पार्किङ्ग गरेर घरबाट बाइक तथा गाडि नै निकाल्न अप्ठयारो भयो। पार्किङ्ग हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3892,मेरो खेतमा फलेको गहुँको बाला धेरै सानो भयो। यसलाई ठूलो बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
3893,Mero ghar ko aagadi ko pole ma batti dherai chamkilo bhayo. Mero nindra bigryo.,Public Infrastructure,not_genuine
3894,टिचिङ हस्पिटल डेन्टल  डिपारमेन्ट नजिक धेरै मान्छे आएर चुराेट खान्छन्  हामिलाइ धेरै असर गर्याे  अनुगमन गरि हटाइदिनुपर्याे । ,नगर प्रहरी,genuine
3895,वडा नं. ०४ धुम्बाराई ringroad Akama hotel र तरकारी बजारको वीचमा वाढि आएको  तत्काल जानु पर्‍यो ।,सार्वजनिक निरमाण,genuine
3896,My daughter wants a celebrity to teach her class. Please arrange for a famous singer.,Education,not_genuine
3897,नया बानेश्वरबाट शंखमुल जाने बाटोको पेटिमा ब्लकहरु तथा बालुवा गिटिहरु जथाभावि छाडेर आवतजावत गर्न एकदमै असजिलो भयो। यसको व्यवस्थापन गरिदिनुहुन भनि गुनासो आएको छ। ठेकेदारले बाटोमा नया ब्लक राखेर पुरानो ब्लक यत्तिकै छाड्ने जाने गरेको गुनासो पहिला पनि एकदमै आउने भएको हुदा ठेकदारलाइ यो समबन्धमा सजक गराउन आवश्यक देखिएको छ।,नगर प्रहरी,genuine
3898,"Ward 8, pingalastan. Masala darbar restaurant has started to play speakers all day and long into the night. They play speakers upto 11 at night making it disturbing for the neighborhood. Request to put a stop to their speakers and have them play a only they can hear.",नगर प्रहरी,genuine
3899,रत्नपार्कको आकाशे पुल मुनिको पसलहरूमा साउन्ड सिस्टम बजाएर सामान बिक्री वितरण गर्दा ध्वनि प्रदुषण भयो जस कारण बाटोमा हिड्न पनि गाह्यो भएको र हटाउन लगाउनु पर्यो भनि गुनासो आएको छ। ,नगर प्रहरी,genuine
3900,हाम्रो स्कुलमा पोखरी छैन। पौडी खेल्ने पोखरी बनाउनुपर्छ।,Education,not_genuine
3901,मेरो टोलमा बिहान-बिहान रेडियोमा धेरै गीत बज्छ। यसलाई रोक्नुपर्छ।,Nagar Prahari,not_genuine
3902,13 न‍‌ वडा स्थित चागलमा रहेको माउण्ट ग्लोरी स्कुलको अगाडी एउटा रेष्टुरेन्ट खोलेर अगाडी सडकमा पुरा पार्कीङ गरेर सडक जाम गरेको छ । कारवाही होस ।,नगर प्रहरी,genuine
3903,१६ वडा नयाँवजार स्थित पिपल डेन्टल हस्पिटल धेरै फोहोर भयो अनुगमन होस,कृषि तथा पशुपंक्षी,genuine
3904,I lost my favorite sock. Can the police find it for me?,Nagar Prahari,not_genuine
3905,काठमाण्डौ  महानगरपालिकाले बिभिन्न ठाँऊमा फल्चा बनाएको स्थानहरुमा सगै ट्वाइलेट पनि बनाइदिनु  र बसन्तपुरमा एउटा मात्र ट्वाइलेट भएको त्यो पनि असाध्यै फोहोर भएको हुनाले आधुनिक ट्वाइलेट बनाइ दिनु पर्यो  भनि गुनासो आएको ।,सार्वजनिक निरमाण,genuine
3906,The public library books are too old. I want new bestsellers only.,Public Infrastructure,not_genuine
3907,ओमबहाल चोकमा one way बाटोमा पार्किङ्ग गरेर बाटो अवरोध गरेको छन।पार्किङ्ग व्यवस्थापन गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3908,ज्ञानेश्वरबाट डिल्लिबजार जाने one way road मा साना साना खाल्डा परेर आवतजावत गर्न असहज भएको हुदाँ बाटो मर्मत गरिदिनुहुन अनुरोध छ।,सार्वजनिक निरमाण,genuine
3909,The public park has too many trees. It's blocking the sunlight. Please cut some trees.,Public Infrastructure,not_genuine
3910,सुन्धाराबाट भुलानमार्गमा रहेको गुइचो रेष्टुरेन्ट अगाडि बाटो नै blockनै गरि बाइक सर्भिसिङ तथा रिपेरिङ गरेको छ।यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3911,I don't like the smell of rain. Can you make rain smell like vanilla?,Environment,not_genuine
3912,My garden hose is leaking. The water is going to waste. Please fix the ozone layer.,Environment,not_genuine
3913,पुतलिसडक star mall बाट भित्र जाने जाने गल्लिमा जथाभावि पार्किङ्ग गरेर आवतजावतमा एकदमै समस्या भयो। पार्किङ्ग हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3914,कामपा ३२ पेरिस डाँडामा रहेको हिमालयन होस्टेलले बासी खाना खुवाएर हाम्रो स्वास्थ्य माथि खेलवाड गरिरहेको छ । यस्तै अन्य हाेस्टेलहरुले पनि बासी खाना खुवाइरेका छन् । अनुगमन गरी नियमन गर्नुपर्यो ।,कृषि तथा पशुपंक्षी,genuine
3915,Hawa ma dhulo dherai chha. Hawa lai dhulo rahit banaunu paryo.,Environment,not_genuine
3916,मैले बिहान खाना खाएँ तर मेरो पेट अझै खाली छ। यो खानेकुरालाई कारबाही हुनुपर्छ।,Nagar Prahari,not_genuine
3917,Mero ghar ko aagadi ko bijuli ko tar le mero sapana bigaryo. Tar lai hataidinu paryo.,Public Infrastructure,not_genuine
3918,कालोपुल रुद्रमति मार्गमा पिच भत्काएर धुलो उडेर बस्न नसकिने भयो पानी हालिदिनुपर्यो ।,वातावरण,genuine
3919,My daughter wants a permanent holiday from school. Please approve this.,Education,not_genuine
3920,School ko gate kholne bell dherai chito bajcha. Aru thapne bell rakhnu paryo.,Education,not_genuine
3921,"९ वडा शंभु मर्गमा पुरानो पिच भत्कीएर खाल्डा खुल्डी भएकोले पिचमाथी १ लीएर पुन पिच गर्नु परयो 
solutions : वडाको सिफारिस सहित पठाउनुहुन । ",सार्वजनिक निरमाण,genuine
3922,स्कुलको शौचालयमा सुगन्ध आउँदैन। त्यहाँ सुगन्धित स्प्रे राख्नुपर्‍यो।,Education,not_genuine
3923,सडकको छेउमा फुल फुल्दैन। सुन्दर फुल फुलाउने व्यवस्था गर्नुपर्छ।,Public Infrastructure,not_genuine
3924,बाख्राले घास खाँदा धेरै हल्ला गर्छ। उसलाई चुपचाप खान सिकाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
3925,धुम्वराही चोकमा बन्दै गरेको  मुन लाइट पार्टी प्यालेसले जग्गा नछोडीकन झ्याल ढोका राखेर मापदण्ड विपरित भवन निर्माण गरिराखेको छ । अनुगमन गरी आवश्यक कारवाही गर्नुपर्यो ।,नगर प्रहरी,genuine
3926,"वालाजु माछापोखरी  स्थित SS College ले जहीलेपनि वाजा , माईक समेत वजाएर होहल्ला गर्ने गरेको छ टोलका मान्छे हरुलाई धेरै तनाव भयो,  हर्ट दमका विरामीलाई पनी धेरै सास्ती भयो ।  ",नगर प्रहरी,genuine
3927,माइतिघर चोकमा रहेका साना साना २ वटा झण्डाहरु च्यातिएका छन् । change गर्नुपर्यो ।,नगर प्रहरी,genuine
3928,"शोभा भगवतीबाट बालाजु तर्फ जांदा र ईन्द्रायनीबाट बालाजु तर्फा जांदा बिचमा एउटा पुल आउँछ जहाँ संधै जाम हुने गर्दछ। त्यो जाम हुनुको मुख्य कारण-

१. पुलको दुबै तर्फ खाल्डाखुल्डी जसको कारण गाडी/ बाईक खाल्डाखुल्डी छल्न सो नभएको लेनमा जांदा जाम तुरुन्तै बढ्छ।

२. बाईक बाहेक सानो कार पनि पुल माथी जानू परे एउटा Radius मा टर्न गर्नु पर्ने हुन्छ। ठूलो गाडी भए झनै ठूलो Radius मा टर्न लिनु पर्ने हुन्छ। यदि पुलको दुबै मुखको डिजाईनमा सानो परिवर्तन गर्दै मुख ठूलो पार्न सकिए गाडीहरुले टर्न गर्दा लिनु पर्ने Radius थोरै लिए पुग्ने र सो को कारण जाम पनि कम हुन सक्नेछ। ",सार्वजनिक निरमाण,genuine
3929,विशालनगर  सेन्ट्रल कोलोनि पार्क लगाडी विधुत प्राधिरणले तार काटैर यतिकै असरल्ल छाडेकोछ व्यवस्थापन गर्नु पर्यो ,नगर प्रहरी,genuine
3930,ढलको ढकनी धेरै भारी छ। यसलाई हलुका बनाउनुपर्छ।,Public Infrastructure,not_genuine
3931,पेप्सिकोला छाप्रोमा रहेको कान्तिपुर पब्लिकेशनबाट रातको १२-१ बजे ठुलो आवाज निकालेर सुत्न सकिएन।ध्वनि प्रदुषण नियन्त्रण गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3932,"का म पा भित्र चाैबाटाेमा बसेर बच्चा समेत लिइ खेल खेल्ला भलिबल ,बास्केट बल ,व्याडमिन्टन खेल्दा गाडी आएर ठुलाे दुर्घटना हुन सक्छ बाटाेमा बच्चाहरुलाइ खेल्न बन्द गराइदिनुपर्याे । ",नगर प्रहरी,genuine
3933,"नदीमा माछाहरू धेरै छन्। यिनीहरूले पानी फोहोर गर्छन्, माछालाई अन्यत्र सार्नुपर्छ।",Environment,not_genuine
3934,आज बिहान हावामा धेरै चिसो थियो। यसलाई तातो बनाउनुपर्छ।,Environment,not_genuine
3935,१३ वडा कुलेश्वर मेट्राे अपारमेन्ट जाने गल्लिमा नेटकाे र टेलिफाेनकाे तार बाटाेमा आएर छरपस्ट भएकाे छ धेरै जना पैदल यात्री लडेर घाइते  हनु भएकाे छ तार व्यवस्थापन गरिदिनुपर्याे । ,नगर प्रहरी,genuine
3936,लिभरपुल स्कुल नजिक विज्ञान मार्गमा रहेको लप्सिको बोट नजिक खालि जग्गामा समय समयमा आगो बालेर धुवा निस्कन्छ जसले वरिपरि असर गर्छ। आज पनि बालेको छ। अनुगमन गरि आगो बाल्ने काम रोकिदिन अनुरोध छ।,नगर प्रहरी,genuine
3937,वडा नं. २४ न्युरोडको प्युखा चौकमा होलसेल मार्केटले सामान लोड र अनलोड गरेर स्थानीय बासिन्दालाई घरमा बस्न र  हिँडडुल गर्न गाह्रो भएको भन्ने गुनासो आएको हुदाँ ।,नगर प्रहरी,genuine
3938,सडकमा गाडीको हर्नले मेरो मुटु दुख्यो। हर्न बजाउन निषेध गर्नुपर्छ।,Nagar Prahari,not_genuine
3939,"ठमेल मुनलाईट होटेल र रामडा होटेलको पूर्व गेट अगाडी विच वाटोमा एउटा  सिमेन्टको पिलर राखेको छ जसले गर्दा वाटो साँगुरो वनाएकोछ हटाउन पर्यो 
",नगर प्रहरी,genuine
3940,मैतिदेवि चोक देखि सेतोपुलसम्म फुटपातमा सामान बिक्रिमा राखेको छ। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3941,कामपा २ वडा लाजिम्पाट British Embassy बाट Aangan Sweet House निस्कने गल्लीमा Bike Parking गरेर आवतजावत गर्न समस्या भयो । उठाइदिनुपर्यो ।,नगर प्रहरी,genuine
3942,My chickens are not laying golden eggs. Please consult with a specialist.,Agriculture and Livestock,not_genuine
3943,Mero chhora le mobile game ma dherai paisa kharcha garyo. Mobile game ban garaidinu paryo.,Nagar Prahari,not_genuine
3944,सोह्रखुट्टेबाट शोभा भगवति जाने फुटपाथमा बाइक पार्किङ्ग गरेर सडकबाट हिड्नु परेको छ। पार्किङ्ग हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3945,सडकको छेउमा फुल फुल्दैन। सुन्दर फुल फुलाउने व्यवस्था गर्नुपर्छ।,Public Infrastructure,not_genuine
3946,स्कुलको शौचालयमा सुगन्ध आउँदैन। त्यहाँ सुगन्धित स्प्रे राख्नुपर्‍यो।,Education,not_genuine
3947,१६ वडा बाइपास अष्टनारायणहल काे अगाडि मापदण्ड विपरित बनेकाे घरले गर्दा जहिले जाम भयाे त्यस वरपरका अरु घर हटिसके त्याे घर हटेकाे छैन तुरुन्त हटाउनुपर्याे भन्ने गुनासाे आएकाे छ । ,नगर प्रहरी,genuine
3948,सर्वोच्च अदालतको अपोजिट साइडबाट सिहदरबारको जेब्राक्रसिङसम्म उपत्यका बााहिरबाट खसि बोका ल्याएर बाटोभरि बाख्रोको दिसापिसाब भएर हिड्न गाह्रो भयो। आवश्यक कारबाहि गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3949,Teacher le malai dherai homework dinuhuncha. Homework kam garna lagaunu paryo.,Education,not_genuine
3950,जमल साइकल गल्लिमा जथाभावि बाटोमा माग्ने बसेको पाइन्छ। यस बारेमा का.म.पा. को ध्यान जायोस भनि गुनासो आएको छ। आवश्यक अनुगमन गरि माग्नेहरुको समस्या सम्बोधन गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3951,कुलरत्न मार्गमा नालि जाम भएको करिव एक वर्ष भयो।नालि बनाइदिनहुन अनुरोध छ।,सार्वजनिक निरमाण,genuine
3952,Mero gau ko bato ma pani le bhijeko mato dherai chha. Tiniharu lai sukhai dinu paryo.,Public Infrastructure,not_genuine
3953,The street sign is too high. I can't read it from my car. Please lower it.,Public Infrastructure,not_genuine
3954,"बागबजार श्रेष्ठ टेलारिङ्ग खसी बजार निस्कने बाटोमा एउटा सडक कुकुर बिरामी परेर उठ्न नसकेको १ हप्ता भन्दा बढी भयो, उद्दार गरिदिन पर्यो भन्ने गुनासो आएको छ। ",कृषि तथा पशुपंक्षी,genuine
3955,"कामपा ३२ वडा नरेफाँट लालीगुँरास बाटिका स्कुल जाने बाटोमा एउटा घर  सावधानी नअपनाईकन बनिरहेको, निर्माण सामग्री माथिबाट तल झर्ने भएकोले त्यो बाटो भएर स्कुल जाने बच्चाहरुलाई चोटपटक लाग्ने सम्भावना बढ्यो ।",नगर प्रहरी,genuine
3956,पुलमा धेरै मान्छे हिँड्छन्। मान्छेको भीडभाड कम गर्नुपर्छ।,Public Infrastructure,not_genuine
3957,Mero ghar ko chhat bata pani churiyo. Yo pani ko dhara le garda ho. Dhara ko disha feridinu paryo.,Public Infrastructure,not_genuine
3958,चावहिल गणेशथान नजिक भरत प्लाजाको परिसर अगाडी टहरावानाई फस्टफुड चटपट वेचनेगरेकोछ कारवाही किन भएन। पहिला पनि गुनासो गरेको तर केहि सुनुवाइ नभएको भनि गुनासो भएकोले यथाशिघ्र काम गर्न अनुरोध छ।,नगर प्रहरी,genuine
3959,I want a dedicated lane on the road for rollerblading. Please build it.,Public Infrastructure,not_genuine
3960,मेरो टोलमा बिहान-बिहान रेडियोमा धेरै गीत बज्छ। यसलाई रोक्नुपर्छ।,Nagar Prahari,not_genuine
3961,कुलेश्वर भिमगल्ली स्थित सालुन चर्चको संगै फलामको झ्याल ग्रील वनाउने कारखाना छ तेस्ले अत्यधिक ध्वनि प्रदुष्ण गरेर टोलमा वस्न गह्रो भयो नियन्त्रण गर्नु पर्‍यो ।,नगर प्रहरी,genuine
3962,धरहरा बाट खिचापाेखरी जाने बाटाेमा  हाम्राे धरहरा मम फास्टफुड पसलेले बिल दिन मानेन यसकाे छानिबन गरिदीनुहुन अनुराेध छ ।,नगर प्रहरी,genuine
3963,माछापोखरि राजधानि रोधि घर अगाडि गाडी तथा बाइक जथाभावि पार्किङ्ग गरेर बाटो जाम भएको छ। पार्किङ्ग हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3964,Mero ghar ko chhat bata pani churiyo. Yo pani ko dhara le garda ho. Dhara ko disha feridinu paryo.,Public Infrastructure,not_genuine
3965,"Teacher le malai ""timi chup lagera basa"" bhannuhuncha. Ma chup lagera basna sakdina. Yeslai rokna paryo.",Education,not_genuine
3966,"नया बानेश्वर माहादेव स्थान दोमान दोबाटोमा १०, १० मिनेटमा साइकलमा कबाडि उठाउनेले ठुलो ठुलो स्वरले कराइ विद्यार्थिलाइ पठनपाठनको लागि समस्या भयो। यसको व्यवस्थापन गरिदिनुहुन अनुरोध छ।",नगर प्रहरी,genuine
3967,वडा नं. ०५ पुरानो तरकारी बजार बडा कार्यालय अगाडीको बाटोमा ठेलागाढा सामानको क्यारेट राखेर बाटो नै जाम गर्ने गरेको छ ।,नगर प्रहरी,genuine
3968,"३२ नं जनकल्याण गल्लीमा कुकुर पालेर राति छोड्दा, कराएर वृद्ध, बिरामी र बिद्यार्थीलाई धेरै गाह्रो भयो राति कुकुर नछोड्नुस भन्दा पनि मानेनन्। कुकुर धनि दिनेश पराजुली। ",नगर प्रहरी,genuine
3969,My goat is not laughing at my jokes. Please arrange for a comedian to entertain it.,Agriculture and Livestock,not_genuine
3970,अनामनगर वार्ड न २९ शांतिमार्गमा प्री स्कूल खोली हल्ला गरी बसने वातावरण भएन एक पटक आयर समझाईदीनु न ,नगर प्रहरी,genuine
3971,गैरीधाराको भाटभटेनी गोदामको छेउमा मल्टिकलेजसगै ठूलो कन्ट्रक्सन भैरहेको छ।कन्ट्रक्सनको सामाग्रि बाटोमा राखेर आवतजावतमा समस्या देखिएको छ। तथा त्यहाको बाटो एकदमै हिलो भएर हिड्न कठिन भइरहेको हुदाँ आवश्यक काम गरिदिनुहुन अनुरोध छ।,सार्वजनिक निरमाण,genuine
3972,कलंकी स्थित सानिमा वैकले  सेावग्राहि संग पार्कीङ शुल्क लियो ,नगर प्रहरी,genuine
3973,सार्वजनिक प्रतीक्षालयमा मानिसहरू धेरै गफ गर्छन्। उनीहरूलाई चुप लगाउनुपर्छ।,Public Infrastructure,not_genuine
3974,The street sign is too high. I can't read it from my car. Please lower it.,Public Infrastructure,not_genuine
3975,Chuchepati petrol pump ma jahile bahira road side ma gadi rakhi petrol halxa ra road ma derai garo banau xa yaslai herdinu paryo ,नगर प्रहरी,genuine
3976,हिउँ किन सेतो हुन्छ? यसलाई रातो वा निलो बनाउन सकिँदैन?,Environment,not_genuine
3977,Mero galli ma hidda mero chhaya dherai lamo bhayo. Chhaya lai choto banaidinu paryo.,Public Infrastructure,not_genuine
3978,Mero ghar ma batti gayo. Generator chalauna aaudaina. Madat chahiyo.,Nagar Prahari,not_genuine
3979,Mero ghar najikai ko phool le malai allergy bhayo. Tyo phool lai hataidinu paryo.,Environment,not_genuine
3980,The overhead bridge construction in Mitrapark has not been completed..This project was started due to the immense traffic in Mitrapark to construct a safe way for the citizens to reach from one side to the other. The overhead bridge is much needed in Mitrapark and we would be grateful if it was completed on time. ,सार्वजनिक निरमाण,genuine
3981,पुलमा धेरै मान्छे हिँड्छन्। मान्छेको भीडभाड कम गर्नुपर्छ।,Public Infrastructure,not_genuine
3982,Teacher le malai dherai homework dinuhuncha. Homework kam garna lagaunu paryo.,Education,not_genuine
3983,२६ वडा लैनचौर Ncell Building को अगाडी ground  रहेको छ त्यसको अगाडी २/३ वटा ठुला  खाल्डोहरु रहेको छ र बाटो One way भएकाले धेरै दुर्धटनाहरु भइरहेको छ यसको छिटो मर्मत गरिदिनुहुन अनुरोध रहेको छ ।,सार्वजनिक निरमाण,genuine
3984,"कोटेश्वर जडिबुटिको बिचको फुटपाथमा लेबल, नाम केहि नभएको कहि कतै बेच्न अनुमति नपाएको बाथ, ढाड दुखेको, पिनास तथा अन्य धेरै काम गर्छ भनि एउटै औषधि शिशिमा राखेर बेच्दा ति झोल औषधिले क्यान्सर जस्ता प्राण घातक रोग लाग्न सक्छ। आवश्यक अनुगमन गरि कारबाहि गर्न अनुरोध छ।",नगर प्रहरी,genuine
3985,"१५ नं वडा राजा विरेन्द्र मार्गमा जहिले बाटाे खन्ने अनि छाेड्ने गरेर बाटाे हिड्ने मान्छेलाइ हिड्न असजिलाे, एम्बुलेन्स, खानेपानि ल्याउन असजिलाे भयाे संबन्धित निकायलाइ यसकाे व्यवस्थापनकाे लागि अनुराेध छ । 
solutions : कस्ले /कुन निकायबाट भएको हो विवरण सहित पठाउनुहुन ।
",सार्वजनिक निरमाण,genuine
3986,"कामपा २७ भोटाहिटी, डगु बहा चोकबाट महाबौद्ध छिर्ने बाटोमा मोटरसाईकल पार्किङ्ग रहेको छ । त्यहाँ हामी व्यापारीले पार्किङ्ग गर्दा स्थानीयले विरोध गर्छन् । सबैलाई समान रुपले हुने गरी पार्किङ्गको व्यवस्था गरिदिनुपर्यो ।",नगर प्रहरी,genuine
3987,"भिमसेनगोला बाट विजेश्वर चोक जाने प्रयाग मार्गमा रहेको सानो संसार र मन्टेश्वरि स्कुलको १०० मि. भित्र ४/५ वटा पसलले चुरोट, गुटखा खैनी बेच्ने र सडकमा खाने गर्दछन। अनुगमन गरि कारबाहि गरिदिनुहुन अनुरोध छ।",नगर प्रहरी,genuine
3988,"बसुन्धरामा दिलिप स्विटले बासि , ब्रिगेकाे गन्ध आउने मम बेचिरहेकाे छ अहिले बनाएकाे हाे भनेर साेध्धा झगडा पर्याे तुरुन्त अनुगमन गरिदिनुपर्याे । ",कृषि तथा पशुपंक्षी,genuine
3989,Mero kukhura le anda dine time ma tiktok banaudaina. Tyo time ma tiktok banaune byawastha gardinu paryo.,Agriculture and Livestock,not_genuine
3990,बाख्राले घास खाँदा धेरै हल्ला गर्छ। उसलाई चुपचाप खान सिकाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
3991,गृहश्वरिमा बाटो बिग्रिएको हुदा बाटो बनाउन पुर्वाधार एम्बुलेन्स पठाइदिनु पर्यो।,सार्वजनिक निरमाण,genuine
3992,16 वडा टाउनप्लानिङमा फुटपाथ सामानहरु नराख्न माइकिङ गरेमा मात्र ९० प्रतिशत फुटपाथ पसल कम हुनेथियो भन्दै गुनासो आएको हुदा त्यहा फुटपाथ सामानहरु नराख्न माइकिङ गरिदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
3993,जंगलमा जनावरहरू धेरै बस्छन्। तिनीहरूलाई जनसंख्या नियन्त्रण गर्नुपर्छ।,Environment,not_genuine
3994,श्री आदर्श मार्ग चोकमा बाटो भासिएकोले बाटो मर्मत गरिदिन पर्यो।,सार्वजनिक निरमाण,genuine
3995,वाड नं १६ बालाजु हाईट बोहराटार जाने बाटो चोक तिर राति राति रक्सि खाएर मान्छेहरु धेरै झगडा गर्ने गर्छन् त्यसैले यहा चोकमा प्रहरी सुरक्षा बढाउनुपर्यो |,नगर प्रहरी,genuine
3996,Mero mobile ko wallpaper ma mero photo ramro aayena. Ramro photo khichna sikaunu paryo.,Nagar Prahari,not_genuine
3997,The fruit on my tree is not ripe enough. Can you use some magic to ripen it faster?,Agriculture and Livestock,not_genuine
3998,रानिबारी कोरिडोर बाटो खाल्डा खुल्डि भएको छ। बाटो बनाइदिनुहुन अनुरोध छ।,सार्वजनिक निरमाण,genuine
3999,गौरिधाराबाट सभामुख quater को बिचमा बाटोमा फलफुलहरु बेचिरहेको छन। हटाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
4000,My goat is not laughing at my jokes. Please arrange for a comedian to entertain it.,Agriculture and Livestock,not_genuine
4001,My daughter wants a permanent holiday from school. Please approve this.,Education,not_genuine
4002,My goat is not laughing at my jokes. Please arrange for a comedian to entertain it.,Agriculture and Livestock,not_genuine
4003,The school cafeteria food is too healthy. I want more junk food options.,Education,not_genuine
4004,Mero ghar ma musa le khana khayio. Musa lai samatne kam garnu paryo.,Nagar Prahari,not_genuine
4005,का.म.पा. १३ मा नेपाली चलचित्रका पहिलो नायक तथा गायक स्व. शिव शंकरको शालिक छ । उक्त शालिकमा सानो बगैचा पनि व्यवस्थापन गरिएको छ । तर बगैचा पनि अव्यवस्थित छ भने शालिक पनि फोहोर भएको अवस्था छ । नियमित सरसफाईको व्यवस्था गर्नु पर्यो । ,वातावरण,genuine
4006,My chickens are not laying golden eggs. Please consult with a specialist.,Agriculture and Livestock,not_genuine
4007,स्कुलको शौचालयमा सुगन्ध आउँदैन। त्यहाँ सुगन्धित स्प्रे राख्नुपर्‍यो।,Education,not_genuine
4008,सडकमा सुतेको कुकुरले बाटो छेकिरहेको छ। कुकुरलाई उठाइदिनुपर्‍यो।,Public Infrastructure,not_genuine
4009,स्रोहखुट्टे इन्डियन एम्बेसि अगाडि रोडमा ठुलो ठुलो खाल्डा छ। पुरिदिनुहुन अनुरोध छ।,सार्वजनिक निरमाण,genuine
4010,city center देखी नक्शाल जानेवाटो वा डिल्ली वजार वाट भगवतिवहाल जाने वाटोभरी वाहीर फुटपाथ मा पसल राखेर वाटो जाम भयो ,नगर प्रहरी,genuine
4011,The school principal doesn't sing well. He should take singing lessons.,Education,not_genuine
4012,My internet is slow. Can you send someone to fix my Wi-Fi router immediately?,Nagar Prahari,not_genuine
4013,Pepsicola Football ground najikai ko Balbatika school le jathavabi bato ma bike parking garne garekoxa . Bato ma emergency bela auna jana akdam aftaro vayekoxa. Sabai samaj le vanda pani nasuneko le karbai garnu parne xa. School lageko bela ma .Nagar prahari ko sahayog chaiyekoxa .,नगर प्रहरी,genuine
4014,विगत ३ -४ दिन देखि आगो बालेर धुवाँको कारण घरमा बस्न गाह्रो भएको ,नगर प्रहरी,genuine
4015,मैतिदेवि पंचशिलमार्ग  रहेको वर्गर हाउसले खाना पकाउने ४ वटा सिलिन्डर पेटीमा राखेको छ। अनि रातदिन  मोटर चलाएर  ध्वनि प्रदुषण भयो । मोटरमा साइलेन्सर लागाउन तथा पेटिमा राखेको शिलिन्डर उठाइदिनुहुन अनुरोध छ।,नगर प्रहरी,genuine
4016,My daughter wants a celebrity to teach her class. Please arrange for a famous singer.,Education,not_genuine
4017,The clouds are not fluffy enough. Can you make them softer and more artistic?,Environment,not_genuine
4018,अष्टनारायण हलमा फिल्म हेर्न गएको पार्किङ्ग शुल्क उठाइयो। अनुगमन गरि कारबाहि गर्न अनुरोध छ।,नगर प्रहरी,genuine
4019,Mero ghar ko aagadi ko pole ma batti dherai chamkilo bhayo. Mero nindra bigryo.,Public Infrastructure,not_genuine
4020,हाम्रो कक्षाकोठामा गर्मी भयो। एसीको व्यवस्था गर्नुपर्छ।,Education,not_genuine
4021,गौरीघाट वाट टुसाल जानेवाटो अगाडी कुमारी  गाल जानेवाटो लाहुरे टोल जाने वाटोमा पुरै ठेलागाढा मा व्यापार गरीराको छ ।,नगर प्रहरी,genuine
4022,My chickens are not laying golden eggs. Please consult with a specialist.,Agriculture and Livestock,not_genuine
